epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
84,272.551,0.89776,0.61004,0.9747,0.98126,0.98797,0.99295,0.80527,0.70318,0.44669,0.90831,0.0003566,0.0003566,0.0003566
85,276.379,0.8919,0.60304,0.99529,0.97393,0.98688,0.99149,0.81277,0.70223,0.45024,0.90705,0.0003368,0.0003368,0.0003368
86,280.24,0.8453,0.5885,0.95002,0.97571,0.98491,0.99224,0.8163,0.68462,0.43587,0.90115,0.000317,0.000317,0.000317
87,284.153,0.88519,0.63506,0.97184,0.97716,0.97736,0.99115,0.81089,0.71179,0.45119,0.90373,0.0002972,0.0002972,0.0002972
88,287.907,0.84226,0.5972,0.94127,0.97167,0.98113,0.99179,0.81212,0.68562,0.44243,0.89534,0.0002774,0.0002774,0.0002774
89,291.727,0.88232,0.59164,0.97571,0.97756,0.98639,0.99291,0.81371,0.70383,0.43244,0.89575,0.0002576,0.0002576,0.0002576
90,295.572,0.82062,0.5596,0.93241,0.98031,0.99245,0.99289,0.81515,0.69771,0.41637,0.89784,0.0002378,0.0002378,0.0002378
91,322.871,0.79644,0.53491,0.9547,0.98134,0.99214,0.99237,0.81,0.68003,0.42371,0.89158,0.000218,0.000218,0.000218
92,326.73,0.79842,0.51284,0.91957,0.98777,0.98868,0.99023,0.81107,0.68058,0.42981,0.89069,0.0001982,0.0001982,0.0001982
93,330.683,0.75283,0.51081,0.9234,0.98131,0.99245,0.99215,0.82113,0.6697,0.42249,0.88728,0.0001784,0.0001784,0.0001784
94,334.615,0.81603,0.50303,0.97615,0.98638,0.99245,0.99307,0.82941,0.65381,0.41089,0.8829,0.0001586,0.0001586,0.0001586
95,338.623,0.7318,0.48711,0.93061,0.98003,0.99245,0.99327,0.83072,0.62845,0.3996,0.87779,0.0001388,0.0001388,0.0001388
96,342.447,0.72043,0.48867,0.89675,0.97976,0.99245,0.99376,0.83494,0.62559,0.39671,0.87698,0.000119,0.000119,0.000119
97,346.426,0.71589,0.48134,0.92494,0.98501,0.99214,0.99404,0.82891,0.63937,0.39321,0.881,9.92e-05,9.92e-05,9.92e-05
98,350.42,0.72598,0.48557,0.89419,0.98501,0.99185,0.99408,0.82236,0.64662,0.3924,0.88263,7.94e-05,7.94e-05,7.94e-05
99,354.267,0.71814,0.47326,0.91429,0.98448,0.99245,0.99416,0.82769,0.63636,0.39445,0.87751,5.96e-05,5.96e-05,5.96e-05
100,358.068,0.71739,0.4634,0.91647,0.98067,0.99623,0.99408,0.83361,0.63025,0.3917,0.87398,3.98e-05,3.98e-05,3.98e-05
